annex2_code,field_name,canonical_field,priority,xsd_requirement,applicability,projected,delivered,has_field_rule,delivery_sample_value,xml_leaf_element,xml_first_record_value,population_mechanism,xsd_status
RREL55,Interest Revision Date 3,interest_revision_date_3,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/ThrdRvsnData/IntrstRvsnDt,ND5,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL56,Revised Interest Rate Index,revised_interest_rate_index,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/RvisdIntrstRateIndx,ND5,projector via registry mapping + rule enum transform; permitted no-data value in output,document XSD PASSED
RREL57,Revised Interest Rate Index Tenor,revised_interest_rate_index_tenor,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/RvisdIntrstRateIndxTnor,ND5,projector via registry mapping + rule enum transform; permitted no-data value in output,document XSD PASSED
RREL58,Number Of Payments Before Securitisation,number_of_payments_before_securitisation,Analytics,ND1-4 allowed,in scope,True,True,True,ND1,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/PmtDtls/NbOfPmtsBfrScrtstn,ND1,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL59,Percentage Of Prepayments Allowed Per Year,percentage_of_prepayments_allowed_per_year,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/PrepmtDtls/PrepmtCmonData/AllwdPerYr,ND5,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL6,Data Cut-Off Date,data_cut_off_date,Mandatory,no ND,in scope,True,True,True,2026-06-30,CutOffDt,2026-06-30,projector via registry mapping + rule (validation/format),document XSD PASSED
RREL60,Prepayment Lock-Out End Date,prepayment_lock_out_end_date,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/PrepmtDtls/LckOutEndDt,ND5,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL61,Prepayment Fee,prepayment_fee,Mandatory,; ND5 allowed,in scope,True,True,False,0.0,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/PrepmtDtls/PrepmtCmonData/Fee,0.0,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL62,Prepayment Fee End Date,prepayment_fee_end_date,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/PrepmtDtls/PrepmtCmonData/FeeEndDt,ND5,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL63,Prepayment Date,prepayment_date,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/PrepmtDtls/PrepmtCmonData/LatstDt,ND5,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
